"","ITAG","cluster"
"394","Solyc01g098830.2.1",3
"395","Solyc01g098910.2.1",5
"396","Solyc01g098940.2.1",1
"397","Solyc01g099000.1.1",5
"398","Solyc01g099130.2.1",4
"399","Solyc01g099200.2.1",6
"400","Solyc01g099210.2.1",6
"401","Solyc01g100160.2.1",3
"402","Solyc01g100170.2.1",2
"403","Solyc01g100340.2.1",4
"404","Solyc01g100450.1.1",6
"405","Solyc01g100600.2.1",1
"406","Solyc01g100750.2.1",5
"407","Solyc01g100800.1.1",5
"408","Solyc01g100930.2.1",3
"409","Solyc01g100940.2.1",1
"410","Solyc01g101070.2.1",4
"411","Solyc01g102310.2.1",2
"412","Solyc01g102390.2.1",2
"413","Solyc01g102400.2.1",3
"414","Solyc01g102490.2.1",4
"415","Solyc01g102500.2.1",4
"416","Solyc01g102640.2.1",6
"417","Solyc01g102690.2.1",1
"418","Solyc01g102710.2.1",2
"419","Solyc01g102840.2.1",6
"420","Solyc01g102870.1.1",6
"421","Solyc01g102940.2.1",3
"422","Solyc01g102990.2.1",6
"423","Solyc01g103140.2.1",1
"424","Solyc01g103150.2.1",6
"425","Solyc01g103440.2.1",4
"426","Solyc01g103530.2.1",3
"427","Solyc01g103640.2.1",1
"428","Solyc01g103720.2.1",4
"429","Solyc01g103730.2.1",6
"430","Solyc01g103970.2.1",2
"431","Solyc01g104030.2.1",1
"432","Solyc01g104090.2.1",1
"433","Solyc01g104200.2.1",3
"434","Solyc01g104320.2.1",1
"435","Solyc01g104350.2.1",2
"436","Solyc01g104400.2.1",6
"437","Solyc01g104660.2.1",3
"438","Solyc01g104710.2.1",3
"439","Solyc01g104720.2.1",2
"440","Solyc01g104760.2.1",4
"441","Solyc01g104790.2.1",1
"442","Solyc01g104860.2.1",2
"443","Solyc01g104880.2.1",4
"444","Solyc01g104930.1.1",4
"445","Solyc01g104970.2.1",6
"446","Solyc01g105220.2.1",6
"447","Solyc01g105230.2.1",3
"448","Solyc01g105330.2.1",3
"449","Solyc01g105360.2.1",2
"450","Solyc01g105680.2.1",3
"451","Solyc01g105720.2.1",3
"452","Solyc01g105880.2.1",6
"453","Solyc01g105890.2.1",3
"454","Solyc01g105940.2.1",6
"455","Solyc01g106120.2.1",1
"456","Solyc01g106180.1.1",1
"457","Solyc01g106230.2.1",5
"458","Solyc01g106380.2.1",4
"459","Solyc01g106580.2.1",3
"460","Solyc01g106590.2.1",3
"461","Solyc01g106660.1.1",3
"462","Solyc01g106670.1.1",1
"463","Solyc01g106690.2.1",2
"464","Solyc01g106800.2.1",1
"465","Solyc01g106820.2.1",1
"466","Solyc01g106910.2.1",3
"467","Solyc01g107250.2.1",6
"468","Solyc01g107270.2.1",1
"469","Solyc01g107310.2.1",1
"470","Solyc01g107320.2.1",4
"471","Solyc01g107360.2.1",4
"472","Solyc01g107370.2.1",3
"473","Solyc01g107640.2.1",2
"474","Solyc01g107650.2.1",3
"475","Solyc01g107670.2.1",3
"476","Solyc01g107740.2.1",4
"477","Solyc01g107800.2.1",3
"478","Solyc01g107890.2.1",3
"479","Solyc01g107960.2.1",5
"480","Solyc01g107990.2.1",4
"481","Solyc01g108000.2.1",3
"482","Solyc01g108070.2.1",2
"483","Solyc01g108120.2.1",3
"484","Solyc01g108170.2.1",6
"485","Solyc01g108300.2.1",3
"486","Solyc01g108390.2.1",3
"487","Solyc01g108400.2.1",4
"488","Solyc01g108420.2.1",1
"489","Solyc01g108490.2.1",4
"490","Solyc01g108520.1.1",3
"491","Solyc01g108530.2.1",5
"492","Solyc01g108570.2.1",1
"493","Solyc01g108630.2.1",2
"494","Solyc01g108640.1.1",6
"495","Solyc01g108900.2.1",5
"496","Solyc01g108950.1.1",1
"497","Solyc01g109100.2.1",1
"498","Solyc01g109110.2.1",1
"499","Solyc01g109180.2.1",6
"500","Solyc01g109190.1.1",5
"501","Solyc01g109420.2.1",1
"502","Solyc01g109460.2.1",2
"503","Solyc01g109650.2.1",3
"504","Solyc01g109700.2.1",2
"505","Solyc01g109710.2.1",6
"506","Solyc01g109880.2.1",3
"507","Solyc01g109890.2.1",4
"508","Solyc01g109930.2.1",3
"509","Solyc01g110340.2.1",3
"510","Solyc01g110470.2.1",4
"511","Solyc01g110690.2.1",2
"512","Solyc01g110700.2.1",3
"513","Solyc01g110960.2.1",5
"514","Solyc01g111010.2.1",3
"515","Solyc01g111040.2.1",6
"516","Solyc01g111050.2.1",5
"517","Solyc01g111100.2.1",3
"518","Solyc01g111140.2.1",5
"519","Solyc01g111280.2.1",2
"520","Solyc01g111340.2.1",3
"521","Solyc01g111420.2.1",5
"522","Solyc01g111460.2.1",4
"523","Solyc01g111500.2.1",2
"524","Solyc01g111610.2.1",5
"525","Solyc01g111770.2.1",5
"526","Solyc01g111860.2.1",3
"527","Solyc01g111880.2.1",3
"528","Solyc01g111890.2.1",2
"529","Solyc01g112000.2.1",3
"530","Solyc01g112140.2.1",3
"531","Solyc01g112310.2.1",1
"532","Solyc01g112340.2.1",1
"533","Solyc02g005270.1.1",1
"534","Solyc02g010630.1.1",2
"535","Solyc02g011720.1.1",1
"536","Solyc02g011750.1.1",3
"537","Solyc02g011800.1.1",1
"538","Solyc02g011810.1.1",4
"539","Solyc02g011840.1.1",1
"540","Solyc02g011860.1.1",5
"541","Solyc02g014030.1.1",3
"542","Solyc02g014110.1.1",2
"543","Solyc02g014430.2.1",3
"544","Solyc02g014560.2.1",1
"545","Solyc02g014740.1.1",5
"546","Solyc02g014750.1.1",2
"547","Solyc02g020900.1.1",1
"548","Solyc02g020940.2.1",3
"549","Solyc02g021040.1.1",1
"550","Solyc02g021260.1.1",6
"551","Solyc02g021340.2.1",6
"552","Solyc02g021700.2.1",2
"553","Solyc02g023990.2.1",3
"554","Solyc02g025080.1.1",1
"555","Solyc02g027080.1.1",3
"556","Solyc02g030230.2.1",2
"557","Solyc02g030450.2.1",5
"558","Solyc02g031710.2.1",2
"559","Solyc02g031980.2.1",5
"560","Solyc02g032320.1.1",1
"561","Solyc02g032390.1.1",4
"562","Solyc02g032490.2.1",4
"563","Solyc02g032820.2.1",1
"564","Solyc02g032850.2.1",4
"565","Solyc02g032940.2.1",2
"566","Solyc02g033040.2.1",4
"567","Solyc02g036290.2.1",3
"568","Solyc02g036320.1.1",3
"569","Solyc02g036380.2.1",1
"570","Solyc02g038740.2.1",1
"571","Solyc02g043820.1.1",1
"572","Solyc02g043840.1.1",4
"573","Solyc02g043950.1.1",4
"574","Solyc02g044020.1.1",6
"575","Solyc02g055330.1.1",1
"576","Solyc02g061620.1.1",5
"577","Solyc02g061810.2.1",5
"578","Solyc02g062040.2.1",6
"579","Solyc02g062140.2.1",2
"580","Solyc02g062180.2.1",6
"581","Solyc02g062340.2.1",2
"582","Solyc02g062380.1.1",1
"583","Solyc02g062610.2.1",2
"584","Solyc02g062790.2.1",1
"585","Solyc02g062800.2.1",6
"586","Solyc02g062880.1.1",5
"587","Solyc02g063030.2.1",3
"588","Solyc02g063170.2.1",1
"589","Solyc02g063200.1.1",1
"590","Solyc02g063290.2.1",1
"591","Solyc02g063330.2.1",4
"592","Solyc02g064590.1.1",4
"593","Solyc02g064640.2.1",3
"594","Solyc02g064650.2.1",2
"595","Solyc02g064990.2.1",6
"596","Solyc02g065020.1.1",2
"597","Solyc02g065030.1.1",1
"598","Solyc02g065290.1.1",5
"599","Solyc02g065480.2.1",6
"600","Solyc02g065490.2.1",6
"601","Solyc02g065500.2.1",6
"602","Solyc02g065510.1.1",4
"603","Solyc02g065520.1.1",1
"604","Solyc02g065690.2.1",6
"605","Solyc02g065720.2.1",3
"606","Solyc02g065780.1.1",3
"607","Solyc02g066810.1.1",6
"608","Solyc02g067050.2.1",3
"609","Solyc02g067130.1.1",1
"610","Solyc02g067150.2.1",1
"611","Solyc02g067170.1.1",1
"612","Solyc02g067200.2.1",1
"613","Solyc02g067250.1.1",2
"614","Solyc02g067440.2.1",5
"615","Solyc02g067590.1.1",1
"616","Solyc02g067620.1.1",6
"617","Solyc02g067680.1.1",5
"618","Solyc02g067710.1.1",6
"619","Solyc02g067740.2.1",5
"620","Solyc02g067800.2.1",3
"621","Solyc02g067900.2.1",5
"622","Solyc02g068000.2.1",1
"623","Solyc02g068030.1.1",2
"624","Solyc02g068140.2.1",4
"625","Solyc02g068200.1.1",1
"626","Solyc02g068320.2.1",2
"627","Solyc02g068390.2.1",6
"628","Solyc02g068400.2.1",1
"629","Solyc02g068540.1.1",3
"630","Solyc02g068550.1.1",6
"631","Solyc02g068630.1.1",5
"632","Solyc02g068710.2.1",6
"633","Solyc02g068780.2.1",4
"634","Solyc02g068800.1.1",4
"635","Solyc02g068840.1.1",1
"636","Solyc02g068900.2.1",2
"637","Solyc02g069020.2.1",2
"638","Solyc02g069040.2.1",6
"639","Solyc02g069170.1.1",1
"640","Solyc02g069270.2.1",1
"641","Solyc02g069290.2.1",2
"642","Solyc02g069310.2.1",1
"643","Solyc02g069390.1.1",6
"644","Solyc02g069520.2.1",1
"645","Solyc02g069600.2.1",4
"646","Solyc02g069970.2.1",1
"647","Solyc02g069980.2.1",4
"648","Solyc02g070220.2.1",2
"649","Solyc02g070630.2.1",5
"650","Solyc02g070680.2.1",3
"651","Solyc02g070700.1.1",1
"652","Solyc02g070950.1.1",2
"653","Solyc02g070980.1.1",2
"654","Solyc02g070990.1.1",2
"655","Solyc02g071000.1.1",2
"656","Solyc02g071080.1.1",4
"657","Solyc02g071110.2.1",2
"658","Solyc02g071190.2.1",6
"659","Solyc02g071300.1.1",5
"660","Solyc02g071600.2.1",4
"661","Solyc02g071620.2.1",3
"662","Solyc02g071640.1.1",6
"663","Solyc02g071800.2.1",2
"664","Solyc02g071930.1.1",3
"665","Solyc02g071980.2.1",6
"666","Solyc02g072010.1.1",5
"667","Solyc02g072030.1.1",2
"668","Solyc02g072050.1.1",5
"669","Solyc02g072330.1.1",1
"670","Solyc02g073580.1.1",1
"671","Solyc02g074600.2.1",3
"672","Solyc02g076690.2.1",2
"673","Solyc02g076750.1.1",2
"674","Solyc02g076780.2.1",3
"675","Solyc02g076930.1.1",2
"676","Solyc02g077210.1.1",1
