GeneID	GOID
Solyc01g006240.2.1	GO:0005529
Solyc01g006260.2.1	GO:0000171
Solyc01g006280.2.1	GO:0009396
Solyc01g006290.2.1	GO:0004601
Solyc01g006300.2.1	GO:0004601
Solyc01g006310.2.1	GO:0055114
Solyc01g006320.2.1	GO:0005515
Solyc01g006320.2.1	GO:0004871
Solyc01g006330.2.1	GO:0009507
Solyc01g006340.2.1	GO:0008026
Solyc01g006340.2.1	GO:0005524
Solyc01g006350.2.1	GO:0016757
Solyc01g006370.2.1	GO:0016757
Solyc01g006430.2.1	GO:0042389
Solyc01g006440.1.1	GO:0042936
Solyc01g006450.2.1	GO:0008152
Solyc01g006450.2.1	GO:0055114
Solyc01g006510.2.1	GO:0008152
Solyc01g006510.2.1	GO:0016491
Solyc01g006510.2.1	GO:0055114
Solyc01g006520.2.1	GO:0005529
Solyc01g006520.2.1	GO:0006468
Solyc01g006530.1.1	GO:0005529
Solyc01g006530.1.1	GO:0006468
Solyc01g006540.2.1	GO:0005515
Solyc01g006540.2.1	GO:0016165
Solyc01g006550.2.1	GO:0004675
Solyc01g006560.2.1	GO:0005515
Solyc01g006560.2.1	GO:0016165
Solyc01g006570.1.1	GO:0046872
Solyc01g006570.1.1	GO:0055114
Solyc01g006580.2.1	GO:0010302
Solyc01g006590.1.1	GO:0004675
Solyc01g006600.1.1	GO:0008152
Solyc01g006600.1.1	GO:0016740
Solyc01g006600.1.1	GO:0031177
Solyc01g006600.1.1	GO:0048037
Solyc01g006600.1.1	GO:0000036
Solyc01g006600.1.1	GO:0016491
Solyc01g006600.1.1	GO:0055114
Solyc01g006610.1.1	GO:0010302
Solyc01g006630.2.1	GO:0008152
Solyc01g006630.2.1	GO:0016491
Solyc01g006640.1.1	GO:0008152
Solyc01g006640.1.1	GO:0016740
Solyc01g006640.1.1	GO:0031177
Solyc01g006640.1.1	GO:0048037
Solyc01g006640.1.1	GO:0000036
Solyc01g006640.1.1	GO:0016491
Solyc01g006640.1.1	GO:0055114
Solyc01g006650.1.1	GO:0003700
Solyc01g006660.1.1	GO:0004252
Solyc01g006670.2.1	GO:0008152
Solyc01g006680.2.1	GO:0003700
Solyc01g006690.2.1	GO:0005515
Solyc01g006710.2.1	GO:0042802
Solyc01g006720.2.1	GO:0008559
Solyc01g006730.2.1	GO:0004683
Solyc01g006740.2.1	GO:0008152
Solyc01g006740.2.1	GO:0016791
Solyc01g006740.2.1	GO:0005986
Solyc01g006770.1.1	GO:0016757
Solyc01g006800.2.1	GO:0005515
Solyc01g006800.2.1	GO:0070006
Solyc01g006810.2.1	GO:0008270
Solyc01g006840.2.1	GO:0004683
Solyc01g006860.2.1	GO:0006457
Solyc01g006860.2.1	GO:0031072
Solyc01g006910.2.1	GO:0008270
Solyc01g006930.2.1	GO:0003700
Solyc01g006930.2.1	GO:0016566
Solyc01g006940.2.1	GO:0003743
Solyc01g006950.2.1	GO:0043495
Solyc01g006970.2.1	GO:0042802
Solyc01g006980.2.1	GO:0008152
Solyc01g006980.2.1	GO:0006633
Solyc01g006990.2.1	GO:0003779
Solyc01g007000.2.1	GO:0004842
Solyc01g007010.2.1	GO:0004842
Solyc01g007020.2.1	GO:0004842
Solyc01g007030.2.1	GO:0005488
Solyc01g007040.2.1	GO:0005488
Solyc01g007040.2.1	GO:0000151
Solyc01g007050.1.1	GO:0004842
Solyc01g007070.2.1	GO:0003677
Solyc01g007080.2.1	GO:0015140
Solyc01g007090.1.1	GO:0015140
Solyc01g007100.2.1	GO:0035250
Solyc01g007100.2.1	GO:0046480
Solyc01g007120.2.1	GO:0004672
Solyc01g007120.2.1	GO:0005487
Solyc01g007130.2.1	GO:0004675
Solyc01g007140.2.1	GO:0005488
Solyc01g007150.2.1	GO:0005515
Solyc01g007160.2.1	GO:0006281
Solyc01g007260.2.1	GO:0019538
Solyc01g007280.2.1	GO:0015935
Solyc01g007280.2.1	GO:0003723
Solyc01g007280.2.1	GO:0005622
Solyc01g007290.1.1	GO:0055114
Solyc01g007300.1.1	GO:0055114
Solyc01g007310.2.1	GO:0055114
Solyc01g007320.2.1	GO:0045261
Solyc01g007320.2.1	GO:0005524
Solyc01g007320.2.1	GO:0017111
Solyc01g007320.2.1	GO:0033178
Solyc01g007320.2.1	GO:0016469
Solyc01g007330.2.1	GO:0015977
Solyc01g007330.2.1	GO:0009536
Solyc01g007340.2.1	GO:0009317
Solyc01g007340.2.1	GO:0016874
Solyc01g007350.2.1	GO:0009522
Solyc01g007360.2.1	GO:0016021
Solyc01g007370.2.1	GO:0016021
Solyc01g007380.1.1	GO:0031361
Solyc01g007400.1.1	GO:0016020
Solyc01g007410.2.1	GO:0030096
Solyc01g007410.2.1	GO:0016021
Solyc01g007420.2.1	GO:0009512
Solyc01g007430.2.1	GO:0009512
Solyc01g007440.1.1	GO:0009522
Solyc01g007450.1.1	GO:0005840
Solyc01g007460.2.1	GO:0005840
Solyc01g007470.1.1	GO:0005840
Solyc01g007490.2.1	GO:0006508
Solyc01g007500.2.1	GO:0009523
Solyc01g007500.2.1	GO:0016020
Solyc01g007520.2.1	GO:0016020
Solyc01g007510.1.1	GO:0016020
Solyc01g007530.2.1	GO:0003954
Solyc01g007540.2.1	GO:0016020
Solyc01g007540.2.1	GO:0042651
Solyc01g007550.1.1	GO:0006350
Solyc01g007560.2.1	GO:0006350
Solyc01g007560.2.1	GO:0006351
Solyc01g007570.2.1	GO:0005840
Solyc01g007580.2.1	GO:0005840
Solyc01g007590.2.1	GO:0005840
Solyc01g007590.2.1	GO:0015934
Solyc01g007600.2.1	GO:0005840
Solyc01g007600.2.1	GO:0006412
Solyc01g007610.2.1	GO:0005840
Solyc01g007610.2.1	GO:0015934
Solyc01g007610.2.1	GO:0015935
Solyc01g007610.2.1	GO:0003723
Solyc01g007620.2.1	GO:0005840
Solyc01g007630.2.1	GO:0005840
Solyc01g007630.2.1	GO:0015934
Solyc01g007630.2.1	GO:0000166
Solyc01g007640.2.1	GO:0005524
Solyc01g007640.2.1	GO:0017111
Solyc01g007640.2.1	GO:0009507
Solyc01g007660.2.1	GO:0055114
Solyc01g007670.2.1	GO:0005840
Solyc01g007670.2.1	GO:0015935
Solyc01g007740.2.1	GO:0016491
Solyc01g007740.2.1	GO:0045454
Solyc01g007740.2.1	GO:0051920
Solyc01g007760.2.1	GO:0003700
Solyc01g007760.2.1	GO:0003714
Solyc01g007840.2.1	GO:0000175
Solyc01g007860.2.1	GO:0042803
Solyc01g007880.2.1	GO:0005515
Solyc01g007900.2.1	GO:0005515
Solyc01g007900.2.1	GO:0046790
Solyc01g007910.2.1	GO:0008152
Solyc01g007920.2.1	GO:0008152
Solyc01g007930.2.1	GO:0005488
Solyc01g007940.2.1	GO:0004021
Solyc01g007950.2.1	GO:0055114
Solyc01g007960.2.1	GO:0019199
Solyc01g007960.2.1	GO:0004674
Solyc01g007970.1.1	GO:0019199
Solyc01g007970.1.1	GO:0004674
